activity_id,user_id,username,activity_type,ip_address,device,browser,location,login_count,timestamp,description
1,12,bgraveston0,Login,61.64.10.133,Xiaomi Mi 11,Microsoft Edge,Yanling,32,2024-05-06T10:07:55Z,User successfully logged into the system from Yanling on Xiaomi Mi 11.
2,26,jbutterly1,Logout,114.173.197.194,Xiaomi Mi 11,Mozilla Firefox,Ailuk,40,2024-12-20T19:01:04Z,User ended their session from Xiaomi Mi 11 at 2024-12-20T19:01:04Z.
3,18,nvany2,Login,92.52.164.159,Samsung Galaxy S22,Mozilla Firefox,Areni,98,2024-10-20T02:37:25Z,User logged in from mobile device Samsung Galaxy S22 using Mozilla Firefox.
4,36,cmathy3,Logout,143.17.41.117,HP Pavilion Laptop,Mozilla Firefox,Tungao,62,2025-01-16T21:31:41Z,User logged out of the system successfully.
5,15,rmayger4,Password Change,127.243.254.248,MacBook Pro,Opera,Bukid,52,2025-01-13T09:00:41Z,User changed their password at 2025-01-13T09:00:41Z.
6,2,nrubert5,Logout,10.173.15.99,Dell XPS 13,Microsoft Edge,Ingenio,38,2024-02-18T13:42:15Z,Session terminated for user on Dell XPS 13.
7,44,abonicelli6,Password Change,100.141.77.121,HP Pavilion Laptop,Brave,Dushk,25,2023-12-29T06:03:03Z,Password updated from Dushk on HP Pavilion Laptop.
8,29,jboich7,Logout,220.77.219.108,Google Pixel 7,Safari,Longxing,47,2024-01-04T21:21:34Z,User logged out from IP 220.77.219.108.
9,20,knowakowska8,Login,128.211.204.4,Dell XPS 13,Google Chrome,Chimboy Shahri,56,2024-03-15T19:18:01Z,User accessed the account via Google Chrome from 128.211.204.4.
10,48,streeby9,Login,214.121.176.138,Google Pixel 7,Microsoft Edge,Shuangtang,59,2024-08-27T03:44:28Z,User logged in from IP 214.121.176.138 using Microsoft Edge on Google Pixel 7.
11,33,alorama,Logout,81.204.192.143,iPhone 14,Brave,Valle Grande,42,2024-01-20T13:27:19Z,Logout detected from Valle Grande using iPhone 14.
12,16,mpyottb,Logout,144.180.195.107,Dell XPS 13,Microsoft Edge,Pegongan,32,2024-09-06T12:42:32Z,Logout detected from Pegongan using Dell XPS 13.
13,44,lsmalcombec,Logout,183.7.91.249,Dell XPS 13,Microsoft Edge,Juan de Acosta,51,2024-10-29T18:25:25Z,Logout detected from Juan de Acosta using Dell XPS 13.
14,13,kbisleyd,Password Change,240.115.174.187,Xiaomi Mi 11,Mozilla Firefox,Malaga,72,2024-11-29T19:12:26Z,Password changed from IP 240.115.174.187 on Xiaomi Mi 11.
15,18,ccampese,Login,72.66.189.64,OnePlus 9,Opera,Conde,28,2024-02-29T02:58:53Z,New login detected from OnePlus 9 in Conde.
16,13,rdibiaggif,Login,51.128.112.110,Dell XPS 13,Brave,Mekarsari,32,2024-05-05T23:34:53Z,User logged in from a new device: Dell XPS 13 at 2024-05-05T23:34:53Z.
17,22,ztatersaleg,Login,205.37.80.19,HP Pavilion Laptop,Microsoft Edge,San Jose,62,2024-12-07T00:04:00Z,User logged in from a new device: HP Pavilion Laptop at 2024-12-07T00:04:00Z.
18,43,fshailerh,Login,203.2.229.88,Dell XPS 13,Brave,Al Bāţinah,56,2024-04-25T02:02:24Z,New login detected from Dell XPS 13 in Al Bāţinah.
19,16,vsponderi,Login,153.137.196.156,Lenovo ThinkPad,Safari,Ndwedwe,81,2024-02-26T17:02:31Z,User logged in from mobile device Lenovo ThinkPad using Safari.
20,17,nthoringtonj,Password Change,141.195.27.255,OnePlus 9,Mozilla Firefox,Hinigaran,70,2024-06-24T18:59:52Z,User changed password successfully.
21,36,bgatwardk,Login,131.221.12.19,Google Pixel 7,Microsoft Edge,Saint Louis,30,2023-12-02T07:08:57Z,User accessed the account via Microsoft Edge from 131.221.12.19.
22,31,sthunnerclefl,Logout,249.185.85.114,Samsung Galaxy S22,Google Chrome,Sandaoba,28,2024-02-19T04:58:55Z,User logged out from the account on Google Chrome.
23,30,mhughfm,Logout,250.53.179.49,HP Pavilion Laptop,Microsoft Edge,Grand Bois,49,2024-01-08T04:24:43Z,User logged out from IP 250.53.179.49.
24,21,athompsonn,Logout,223.68.43.161,Xiaomi Mi 11,Brave,Si Satchanalai,87,2024-12-10T15:09:59Z,User logged out from IP 223.68.43.161.
25,18,agrabero,Logout,238.182.182.193,Xiaomi Mi 11,Brave,Meru,97,2024-11-01T17:09:14Z,User logged out from IP 238.182.182.193.
26,11,gmasselp,Logout,64.114.76.240,Xiaomi Mi 11,Brave,Lawdar,73,2024-04-30T21:05:21Z,Session closed from IP 64.114.76.240 and Xiaomi Mi 11.
27,20,bstidstonq,Login,134.192.164.114,iPhone 14,Brave,Qiaozi,9,2025-01-15T22:44:56Z,User successfully logged into the system from Qiaozi on iPhone 14.
